customer_id,first_name,last_name,email,signup_date,country
1,Steven,Best,heidi49@example.net,2023-10-21,Brunei Darussalam
2,Tracy,Wilson,lori77@example.com,2026-03-25,Puerto Rico
3,Nicholas,Bryant,aanderson@example.com,2025-02-03,Holy See (Vatican City State)
4,Edward,Casey,berryrobert@example.net,2024-07-26,Macao
5,Amy,Wolf,kenneth79@example.org,2023-09-24,Uruguay
6,Cody,Lee,lbuchanan@example.com,2025-02-15,Suriname
7,Evelyn,Gonzalez,hsnyder@example.org,2024-12-01,United Kingdom
8,Jesse,Bishop,louisreed@example.org,2024-08-01,Niger
9,John,Myers,kmartinez@example.net,2023-05-09,Peru
10,Lisa,Barber,denisewoodward@example.org,2024-01-15,Italy
11,Nichole,Herman,paul13@example.com,2026-02-26,Oman
12,Mark,Nunez,gonzaleztaylor@example.com,2024-02-26,Barbados
13,Michael,Baker,amiller@example.org,2024-11-06,Burundi
14,John,Stewart,sharon84@example.net,2025-07-14,United Arab Emirates
15,Julie,Vance,mcmillanjonathan@example.org,2025-06-20,Anguilla
16,Kathleen,Jones,johnsonelizabeth@example.org,2025-10-08,Solomon Islands
17,Kaylee,Hickman,tanya17@example.com,2025-09-10,Bhutan
18,Sierra,Hodges,uanthony@example.net,2026-01-24,Palau
19,David,Hall,willisshane@example.net,2024-05-25,Holy See (Vatican City State)
20,Alexis,Moss,swilliams@example.net,2024-03-22,Albania
21,Beverly,Grant,tyler04@example.com,2025-10-20,Tajikistan
22,Daniel,Shields,bgregory@example.net,2025-07-14,British Indian Ocean Territory (Chagos Archipelago)
23,John,Brown,amystewart@example.org,2025-04-16,Comoros
24,Ashley,Madden,zrobinson@example.net,2025-11-26,Swaziland
25,Robert,Baker,imoore@example.net,2026-02-28,Ethiopia
26,Matthew,Roberson,ywilson@example.net,2025-11-07,Papua New Guinea
27,Jonathan,Hernandez,kaylee15@example.net,2026-03-10,Marshall Islands
28,Marc,Kennedy,travissanford@example.com,2024-09-16,Western Sahara
29,Jeffery,Rice,smithkristin@example.net,2025-08-19,Mauritius
30,Jimmy,Dalton,sarah17@example.org,2024-04-22,Maldives
31,Catherine,Johnson,wscott@example.org,2024-06-17,Algeria
32,Jeffrey,Brown,danielkelley@example.org,2024-07-04,Sierra Leone
33,Adam,Benton,berrybrian@example.net,2024-08-23,United Arab Emirates
34,Nicholas,Guerrero,christopherwilliams@example.com,2023-04-12,Syrian Arab Republic
35,Jessica,Brandt,asmith@example.net,2023-07-25,Morocco
36,Benjamin,Bryant,gonzalezjimmy@example.com,2024-02-26,Costa Rica
37,Kurt,Wiggins,jamesgonzalez@example.org,2025-11-14,Guadeloupe
38,Danny,Jimenez,courtneymayer@example.net,2023-05-08,Azerbaijan
39,Carrie,Martinez,qanderson@example.net,2025-05-11,San Marino
40,Calvin,Graham,kimberlyaguilar@example.net,2024-10-05,Syrian Arab Republic
41,Melinda,Stevens,andreacalderon@example.net,2024-12-30,Niue
42,Travis,Brock,fergusonblake@example.net,2026-02-11,Georgia
43,Stephanie,Conway,davisnathan@example.org,2024-05-24,Slovenia
